Region,State,is_union_territory,Month,Quarter,Energy Requirement MU,Energy Availability MU,Energy_Deficit
North,Chandigarh,1,Mar,Q1,101.6,101.6,0.0
North,Delhi,1,Mar,Q1,2130.478,2130.279,0.19900000000006912
North,Haryana,0,Mar,Q1,3911.822,3909.16,2.662000000000262
North,Himachal Pradesh,0,Mar,Q1,1025.63,1023.16,2.470000000000141
North,UTs of J&K and Ladakh,1,Mar,Q1,1725.61,1717.93,7.679999999999836
North,Punjab,0,Mar,Q1,4275.01,4259.19,15.820000000000618
North,Rajasthan,0,Mar,Q1,7541.57,7509.03,32.539999999999964
North,Uttar Pradesh,0,Mar,Q1,9619.29,9613.89,5.400000000001455
North,Uttarakhand,0,Mar,Q1,1161.761,1149.01,12.750999999999976
Central,Chhattisgarh,0,Mar,Q1,3522.61521921053,3519.61371921053,3.0015000000003056
West,Gujarat,0,Mar,Q1,11336.8960947,11336.8960947,0.0
Central,Madhya Pradesh,0,Mar,Q1,7524.6028909174,7496.421383094,28.181507823400352
West,Maharashtra,0,Mar,Q1,17010.055545,17009.966325,0.0892199999980221
West,Dadra & Nagar Haveli and Daman & Diu,1,Mar,Q1,791.7707,791.7707,0.0
West,Goa,0,Mar,Q1,405.46282,405.46282,0.0
South,Andhra Pradesh,0,Mar,Q1,6711.89013952,6711.89013952,0.0
South,Telangana,0,Mar,Q1,8909.395019934,8909.395019934,0.0
South,Karnataka,0,Mar,Q1,8602.62199457872,8602.62199457872,0.0
South,Kerala,0,Mar,Q1,2713.09907303952,2713.09907303952,0.0
South,Tamil Nadu,0,Mar,Q1,10799.836298765,10799.836298765,0.0
South,Puducherry,1,Mar,Q1,263.825164153,263.825164153,0.0
South,Lakshadweep,1,Mar,Q1,6.01565,6.01565,0.0
East,Bihar,0,Mar,Q1,2882.105318771,2863.953818771,18.151499999999942
East,Jharkhand,0,Mar,Q1,1106.484301405,1034.630301405,71.85400000000004
East,Odisha,0,Mar,Q1,3441.3626241255,3441.3626241255,0.0
East,West Bengal,0,Mar,Q1,4982.247482166,4977.483482166,4.764000000000124
Northeast,Sikkim,0,Mar,Q1,50.4907513289999,50.4907513289999,0.0
South,Andaman Nicobar,1,Mar,Q1,31.82,31.37,0.4499999999999993
Northeast,Arunachal Pradesh,0,Mar,Q1,86.897443959496,83.19240168,3.7050422794959985
Northeast,Assam,0,Mar,Q1,843.623520685,843.623520685,0.0
Northeast,Manipur,0,Mar,Q1,83.428147201,83.428147201,0.0
Northeast,Meghalaya,0,Mar,Q1,190.642913916,190.642913916,0.0
Northeast,Mizoram,0,Mar,Q1,51.8784832,51.8784832,0.0
Northeast,Nagaland,0,Mar,Q1,75.36476403876,70.3558708,5.008893238759995
Northeast,Tripura,0,Mar,Q1,121.0487895,121.0487895,0.0
North,Chandigarh,1,Apr,Q2,121.0,121.0,0.0
North,Delhi,1,Apr,Q2,2569.0,2569.0,0.0
North,Haryana,0,Apr,Q2,4197.0,4166.0,31.0
North,Himachal Pradesh,0,Apr,Q2,967.0,963.0,4.0
North,UTs of J&K and Ladakh,1,Apr,Q2,1695.0,1675.0,20.0
North,Punjab,0,Apr,Q2,4197.0,4192.0,5.0
North,Rajasthan,0,Apr,Q2,7396.0,7354.0,42.0
North,Uttar Pradesh,0,Apr,Q2,11130.0,11113.0,17.0
North,Uttarakhand,0,Apr,Q2,1208.0,1193.0,15.0
Central,Chhattisgarh,0,Apr,Q2,3480.0,3473.0,7.0
West,Gujarat,0,Apr,Q2,13594.0,13594.0,0.0
Central,Madhya Pradesh,0,Apr,Q2,7577.0,7577.0,0.0
West,Maharashtra,0,Apr,Q2,17458.0,17455.0,3.0
West,Dadra & Nagar Haveli and Daman & Diu,1,Apr,Q2,792.0,792.0,0.0
West,Goa,0,Apr,Q2,424.0,424.0,0.0
South,Andhra Pradesh,0,Apr,Q2,6940.0,6938.0,2.0
South,Telangana,0,Apr,Q2,7331.0,7329.0,2.0
South,Karnataka,0,Apr,Q2,8604.0,8602.0,2.0
South,Kerala,0,Apr,Q2,2765.0,2764.0,1.0
South,Tamil Nadu,0,Apr,Q2,11228.0,11226.0,2.0
South,Puducherry,1,Apr,Q2,279.0,279.0,0.0
South,Lakshadweep,1,Apr,Q2,6.0,6.0,0.0
East,Bihar,0,Apr,Q2,3416.0,3380.0,36.0
East,Jharkhand,0,Apr,Q2,1208.0,1139.0,69.0
East,Odisha,0,Apr,Q2,3468.0,3466.0,2.0
East,West Bengal,0,Apr,Q2,5910.0,5901.0,9.0
Northeast,Sikkim,0,Apr,Q2,44.0,44.0,0.0
South,Andaman Nicobar,1,Apr,Q2,33.0,33.0,0.0
Northeast,Arunachal Pradesh,0,Apr,Q2,72.0,72.0,0.0
Northeast,Assam,0,Apr,Q2,911.0,909.0,2.0
Northeast,Manipur,0,Apr,Q2,78.0,78.0,0.0
Northeast,Meghalaya,0,Apr,Q2,187.0,147.0,40.0
Northeast,Mizoram,0,Apr,Q2,56.0,56.0,0.0
Northeast,Nagaland,0,Apr,Q2,68.0,68.0,0.0
Northeast,Tripura,0,Apr,Q2,144.0,144.0,0.0
North,Chandigarh,1,May,Q2,157.0,157.0,0.0
North,Delhi,1,May,Q2,3119.0,3119.0,0.0
North,Haryana,0,May,Q2,5079.0,5064.0,15.0
North,Himachal Pradesh,0,May,Q2,921.0,918.0,3.0
North,UTs of J&K and Ladakh,1,May,Q2,1726.0,1714.0,12.0
North,Punjab,0,May,Q2,5220.0,5220.0,0.0
North,Rajasthan,0,May,Q2,8271.0,8209.0,62.0
North,Uttar Pradesh,0,May,Q2,13284.0,13246.0,38.0
North,Uttarakhand,0,May,Q2,1335.0,1331.0,4.0
Central,Chhattisgarh,0,May,Q2,3637.0,3637.0,0.0
West,Gujarat,0,May,Q2,13824.0,13824.0,0.0
Central,Madhya Pradesh,0,May,Q2,7659.0,7659.0,0.0
West,Maharashtra,0,May,Q2,17719.0,17705.0,14.0
West,Dadra & Nagar Haveli and Daman & Diu,1,May,Q2,792.0,792.0,0.0
West,Goa,0,May,Q2,415.0,415.0,0.0
South,Andhra Pradesh,0,May,Q2,6872.0,6861.0,11.0
South,Telangana,0,May,Q2,5572.0,5570.0,2.0
South,Karnataka,0,May,Q2,7519.0,7518.0,1.0
South,Kerala,0,May,Q2,2851.0,2851.0,0.0
South,Tamil Nadu,0,May,Q2,10812.0,10810.0,2.0
South,Puducherry,1,May,Q2,315.0,315.0,0.0
South,Lakshadweep,1,May,Q2,6.0,6.0,0.0
East,Bihar,0,May,Q2,3784.0,3724.0,60.0
East,Jharkhand,0,May,Q2,1304.0,1242.0,62.0
East,Odisha,0,May,Q2,3788.0,3788.0,0.0
East,West Bengal,0,May,Q2,6027.0,6014.0,13.0
Northeast,Sikkim,0,May,Q2,44.0,44.0,0.0
South,Andaman Nicobar,1,May,Q2,34.0,33.0,1.0
Northeast,Arunachal Pradesh,0,May,Q2,76.0,76.0,0.0
Northeast,Assam,0,May,Q2,1033.0,1030.0,3.0
Northeast,Manipur,0,May,Q2,73.0,73.0,0.0
Northeast,Meghalaya,0,May,Q2,195.0,156.0,39.0
Northeast,Mizoram,0,May,Q2,52.0,52.0,0.0
Northeast,Nagaland,0,May,Q2,74.0,74.0,0.0
Northeast,Tripura,0,May,Q2,163.0,163.0,0.0
North,Chandigarh,1,Jun,Q2,185.52,185.52,0.0
North,Delhi,1,Jun,Q2,3672.3139625,3671.805,0.5089625000000524
North,Haryana,0,Jun,Q2,6126.142018095,6104.533018095,21.60899999999947
North,Himachal Pradesh,0,Jun,Q2,1027.67,1025.3,2.3700000000001182
North,UTs of J&K and Ladakh,1,Jun,Q2,1556.744,1531.094,25.649999999999864
North,Punjab,0,Jun,Q2,7018.66245122773,7018.66245122773,0.0
North,Rajasthan,0,Jun,Q2,8141.411,8138.193,3.217999999999847
North,Uttar Pradesh,0,Jun,Q2,15146.6200507055,15139.751592,6.868458705499506
North,Uttarakhand,0,Jun,Q2,1483.4478,1479.1378,4.309999999999945
Central,Chhattisgarh,0,Jun,Q2,3372.0515344779,3370.8642844779,1.187249999999949
West,Gujarat,0,Jun,Q2,12392.223539,12392.223539,0.0
Central,Madhya Pradesh,0,Jun,Q2,7442.591970226,7442.591970226,0.0
West,Maharashtra,0,Jun,Q2,18028.5938,18005.0638,23.529999999998836
West,Dadra & Nagar Haveli and Daman & Diu,1,Jun,Q2,791.7707,791.7707,0.0
West,Goa,0,Jun,Q2,398.88684,398.88684,0.0
South,Andhra Pradesh,0,Jun,Q2,7118.646327,7118.646327,0.0
South,Telangana,0,Jun,Q2,6001.116975,6001.116975,0.0
South,Karnataka,0,Jun,Q2,7351.92568509543,7351.92568509543,0.0
South,Kerala,0,Jun,Q2,2443.357794335,2443.357794335,0.0
South,Tamil Nadu,0,Jun,Q2,10868.27907131,10868.27907131,0.0
South,Puducherry,1,Jun,Q2,310.7218473,310.7218473,0.0
South,Lakshadweep,1,Jun,Q2,5.2601,5.2601,0.0
East,Bihar,0,Jun,Q2,4172.53991558866,4087.439436422,85.10047916665962
East,Jharkhand,0,Jun,Q2,1288.494077526,1269.597952526,18.896124999999984
East,Odisha,0,Jun,Q2,3833.572182333,3833.572182333,0.0
East,West Bengal,0,Jun,Q2,6380.88714399255,6366.761869832,14.125274160549452
Northeast,Sikkim,0,Jun,Q2,40.981040223,40.981040223,0.0
South,Andaman Nicobar,1,Jun,Q2,30.83,29.59,1.2399999999999984
Northeast,Arunachal Pradesh,0,Jun,Q2,75.82232726,75.82232726,0.0
Northeast,Assam,0,Jun,Q2,1141.37932602969,1139.161074352,2.2182516776899774
Northeast,Manipur,0,Jun,Q2,70.819232179,70.819232179,0.0
Northeast,Meghalaya,0,Jun,Q2,179.9643455881,145.658043001,34.30630258709999
Northeast,Mizoram,0,Jun,Q2,51.2211284,51.2211284,0.0
Northeast,Nagaland,0,Jun,Q2,80.91824379,80.91824379,0.0
Northeast,Tripura,0,Jun,Q2,134.1430705,134.1430705,0.0
North,Chandigarh,1,Jul,Q3,189.0,189.0,0.0
North,Delhi,1,Jul,Q3,3942.0,3942.0,0.0
North,Haryana,0,Jul,Q3,6713.0,6708.0,5.0
North,Himachal Pradesh,0,Jul,Q3,1078.0,1075.0,3.0
North,UTs of J&K and Ladakh,1,Jul,Q3,1539.0,1523.0,16.0
North,Punjab,0,Jul,Q3,8242.0,8242.0,0.0
North,Rajasthan,0,Jul,Q3,8367.0,8343.0,24.0
North,Uttar Pradesh,0,Jul,Q3,15330.0,15307.0,23.0
